year;month;day;hour;hmix
2017;11;02;18;50.17
2017;11;02;19;75.33
2017;11;02;20;75.33
2017;11;02;21;75.33
2017;11;02;22;50.02
2017;11;02;23;50.02
2017;11;03;00;50.02
2017;11;03;01;51.26
2017;11;03;02;51.26
2017;11;03;03;51.26
2017;11;03;04;50.19
2017;11;03;05;50.19
2017;11;03;06;50.19
2017;11;03;07;51.34
2017;11;03;08;51.34
2017;11;03;09;189.77
2017;11;03;10;369.97
2017;11;03;11;529.38
2017;11;03;12;656.10
2017;11;03;13;757.67
2017;11;03;14;819.64
2017;11;03;15;843.78
2017;11;03;16;825.38
2017;11;03;17;50.00
2017;11;03;18;50.00
2017;11;03;19;59.65
2017;11;03;20;59.65
2017;11;03;21;59.65
2017;11;03;22;61.61
2017;11;03;23;61.61
2017;11;04;00;61.61
2017;11;04;01;53.68
2017;11;04;02;53.68
2017;11;04;03;53.68
2017;11;04;04;60.84
2017;11;04;05;60.84
2017;11;04;06;60.84
2017;11;04;07;50.49
2017;11;04;08;50.49
2017;11;04;09;260.21
2017;11;04;10;502.72
2017;11;04;11;741.43
2017;11;04;12;912.94
2017;11;04;13;1022.05
2017;11;04;14;1088.92
2017;11;04;15;1107.96
2017;11;04;16;1076.27
2017;11;04;17;50.00
2017;11;04;18;50.00
2017;11;04;19;50.00
2017;11;04;20;50.00
2017;11;04;21;50.00
2017;11;04;22;50.00
2017;11;04;23;50.00
2017;11;05;00;50.00
2017;11;05;01;50.90
2017;11;05;02;50.90
2017;11;05;03;50.90
2017;11;05;04;77.57
2017;11;05;05;77.57
2017;11;05;06;77.57
2017;11;05;07;168.98
2017;11;05;08;168.98
2017;11;05;09;402.75
2017;11;05;10;704.03
2017;11;05;11;668.17
2017;11;05;12;728.02
2017;11;05;13;760.97
2017;11;05;14;825.75
2017;11;05;15;845.18
2017;11;05;16;900.12
2017;11;05;17;772.86
2017;11;05;18;773.22
2017;11;05;19;1558.25
2017;11;05;20;1558.25
2017;11;05;21;1558.25
2017;11;05;22;1587.39
2017;11;05;23;1587.39
2017;11;06;00;1587.39
2017;11;06;01;612.04
2017;11;06;02;612.04
2017;11;06;03;612.04
